customer_id,age,tenure_months,monthly_charges,total_charges,churn
1,56,52,87.3,4539.6,0
2,69,2,44.06,88.12,0
3,46,53,30.53,1618.09,1
4,32,67,56.88,3810.96,1
5,60,11,56.02,616.22,0
6,25,11,31.47,346.17,0
7,38,10,92.73,927.3,1
8,56,28,31.87,892.36,1
9,36,11,91.73,1009.03,0
10,40,7,80.62,564.34,0
11,28,29,92.52,2683.08,0
12,28,65,57.83,3758.95,0
13,41,52,90.03,4681.56,0
14,53,15,58.69,880.35,0
15,57,7,93.01,651.07,1
16,41,68,92.02,6257.36,1
17,20,55,24.13,1327.15,1
18,39,3,40.65,121.95,0
19,19,20,37.14,742.8,0
20,41,3,34.66,103.98,0
21,61,29,103.41,2998.89,0
22,47,20,75.32,1506.4,0
23,55,10,57.95,579.5,0
24,19,61,41.17,2511.37,0
25,38,37,66.61,2464.57,0
26,50,51,98.77,5037.27,0
27,29,42,85.15,3576.3,0
28,39,30,72.79,2183.7,0
29,61,45,114.78,5165.1,1
30,42,24,85.02,2040.48,0
31,66,31,32.68,1013.08,0
32,44,23,82.61,1900.03,0
33,59,53,80.66,4274.98,1
34,45,42,111.65,4689.3,1
35,33,36,78.43,2823.48,0
36,32,34,95.27,3239.18,0
37,64,26,106.25,2762.5,1
38,68,71,99.8,7085.8,0
39,61,25,65.76,1644.0,1
40,69,3,31.19,93.57,1
41,20,43,46.61,2004.23,0
42,54,6,35.51,213.06,0
43,68,54,67.03,3619.62,1
44,24,52,91.63,4764.76,0
45,38,13,21.28,276.64,0
46,26,66,75.92,5010.72,1
47,56,56,33.28,1863.68,0
48,35,47,69.11,3248.17,0
49,21,65,94.35,6132.75,0
50,42,66,72.8,4804.8,1
51,31,68,23.61,1605.48,1
52,67,13,110.81,1440.53,1
53,26,30,67.76,2032.8,0
54,43,33,106.4,3511.2,1
55,19,38,113.36,4307.68,0
56,37,43,90.77,3903.11,1
57,45,3,28.07,84.21,0
58,64,43,112.58,4840.94,1
59,24,71,103.2,7327.2,0
60,61,4,97.35,389.4,0
61,25,32,35.0,1120.0,1
62,64,1,58.52,58.52,0
63,52,13,23.52,305.76,1
64,31,36,85.06,3062.16,1
65,34,26,107.7,2800.2,0
66,53,22,84.19,1852.18,1
67,67,11,69.83,768.13,1
68,57,25,103.65,2591.25,1
69,21,45,47.97,2158.65,0
